return_id,order_item_id,return_date,return_reason
181,85929,2024-10-26,Changed Mind
182,83744,2022-07-10,Damaged
183,28816,2023-07-28,Wrong Item
184,111532,2020-06-23,Wrong Item
185,97014,2020-06-20,Damaged
186,108269,2024-12-29,Arrived Late
187,89141,2022-09-26,Damaged
188,65845,2022-08-10,Damaged
189,14371,2024-05-19,Damaged
190,11979,2023-09-26,Wrong Item
191,107190,2024-11-21,Not as Described
192,91029,2022-11-20,Damaged
193,4705,2022-08-23,Wrong Item
194,41957,2020-03-17,Changed Mind
195,85124,2024-02-05,Not as Described
196,4499,2021-11-19,Damaged
197,44000,2023-07-31,Wrong Item
198,43908,2020-12-10,Changed Mind
199,110994,2020-02-29,Arrived Late
200,116580,2020-05-24,Arrived Late
201,31353,2024-11-21,Wrong Item
202,8685,2020-06-11,Damaged
203,36316,2022-06-11,Wrong Item
204,85232,2023-04-29,Not as Described
205,49599,2024-01-03,Not as Described
206,114162,2020-09-27,Changed Mind
207,74539,2020-05-23,Changed Mind
208,101978,2022-09-03,Arrived Late
209,7188,2021-10-17,Damaged
210,26474,2020-12-29,Not as Described
211,19407,2021-06-26,Arrived Late
212,43708,2023-08-08,Changed Mind
213,74615,2022-10-13,Not as Described
214,93474,2024-08-27,Arrived Late
215,90110,2020-03-06,Damaged
216,2784,2020-08-22,Damaged
217,83843,2021-01-04,Changed Mind
218,103545,2020-04-29,Not as Described
219,78602,2022-12-03,Not as Described
220,58429,2020-04-21,Not as Described
221,62853,2023-01-08,Changed Mind
222,69376,2021-09-19,Damaged
223,19453,2020-06-18,Not as Described
224,64962,2022-07-09,Arrived Late
225,102195,2024-04-03,Wrong Item
226,41860,2022-01-05,Damaged
227,119331,2024-10-22,Arrived Late
228,37024,2021-01-01,Wrong Item
229,53046,2023-03-02,Changed Mind
230,108443,2020-02-15,Damaged
231,14787,2024-02-20,Damaged
232,102580,2023-03-04,Not as Described
233,60906,2022-11-14,Arrived Late
234,76912,2022-12-25,Arrived Late
235,118514,2020-01-19,Arrived Late
236,34477,2020-11-15,Arrived Late
237,23045,2022-03-06,Wrong Item
238,4130,2024-02-02,Damaged
239,101559,2023-07-05,Arrived Late
240,12787,2021-02-25,Arrived Late
241,77582,2023-05-24,Not as Described
242,83819,2024-02-21,Arrived Late
243,116025,2022-02-25,Changed Mind
244,56872,2020-10-13,Not as Described
245,19549,2022-12-06,Changed Mind
246,111778,2021-03-11,Damaged
247,81600,2020-04-22,Not as Described
248,52820,2023-01-23,Not as Described
249,68782,2020-12-09,Damaged
250,41975,2022-04-17,Not as Described
251,42387,2023-11-04,Arrived Late
252,18876,2020-06-09,Changed Mind
253,30755,2024-04-21,Changed Mind
254,67017,2023-07-12,Arrived Late
255,86750,2023-02-01,Changed Mind
256,32068,2024-12-04,Damaged
257,112524,2024-06-17,Not as Described
258,29274,2024-05-03,Not as Described
259,16724,2020-01-26,Damaged
260,54077,2021-02-26,Changed Mind
261,115401,2020-10-28,Damaged
262,5113,2024-07-07,Changed Mind
263,67739,2022-08-09,Arrived Late
264,77037,2021-11-03,Arrived Late
265,110393,2022-03-26,Arrived Late
266,51163,2022-12-25,Damaged
267,97073,2021-09-11,Damaged
268,118995,2021-11-04,Wrong Item
269,13591,2021-12-16,Changed Mind
270,88140,2020-08-28,Changed Mind
271,49216,2022-07-15,Changed Mind
272,114372,2024-04-18,Changed Mind
273,4511,2021-03-25,Changed Mind
274,43616,2023-11-08,Not as Described
275,87280,2024-07-03,Wrong Item
276,113277,2023-01-28,Arrived Late
277,8351,2023-08-07,Not as Described
278,58806,2024-02-03,Damaged
279,12213,2023-09-04,Arrived Late
280,101083,2024-04-02,Damaged
281,44474,2022-01-04,Changed Mind
282,46578,2022-07-03,Wrong Item
283,71758,2024-02-08,Wrong Item
284,68681,2023-11-03,Wrong Item
285,99743,2024-12-11,Damaged
286,102135,2024-12-12,Damaged
287,26439,2024-08-17,Changed Mind
288,675,2021-12-29,Arrived Late
289,69933,2022-11-13,Arrived Late
290,47678,2024-05-08,Wrong Item
291,79132,2022-12-10,Not as Described
292,71929,2021-04-09,Wrong Item
293,58042,2022-12-13,Changed Mind
294,82218,2023-08-02,Changed Mind
295,84176,2023-04-18,Wrong Item
296,18422,2023-04-11,Not as Described
297,103478,2022-07-24,Arrived Late
298,87254,2022-10-19,Damaged
299,10818,2021-01-11,Wrong Item
300,24603,2022-03-17,Not as Described
301,86261,2021-02-09,Arrived Late
302,111895,2022-05-24,Damaged
303,22380,2020-04-10,Changed Mind
304,19058,2020-12-26,Not as Described
305,27943,2020-05-30,Wrong Item
306,35497,2023-12-19,Not as Described
307,65529,2023-10-04,Damaged
308,15903,2022-06-09,Wrong Item
309,18966,2024-03-19,Not as Described
310,32485,2023-10-30,Wrong Item
311,84873,2022-02-27,Arrived Late
312,9790,2020-12-10,Not as Described
313,23049,2024-03-25,Arrived Late
314,116,2021-03-12,Changed Mind
315,66188,2021-09-17,Damaged
316,60578,2022-07-29,Arrived Late
317,92356,2022-07-16,Damaged
318,58816,2022-10-27,Changed Mind
319,111547,2020-01-30,Damaged
320,98204,2024-07-14,Damaged
321,29344,2020-04-23,Not as Described
322,25890,2024-08-17,Not as Described
323,41692,2021-09-29,Wrong Item
324,98291,2022-02-09,Arrived Late
325,37538,2023-08-30,Changed Mind
326,87391,2021-08-03,Damaged
327,86524,2022-04-29,Damaged
328,20300,2024-12-23,Wrong Item
329,41858,2022-03-17,Not as Described
330,25099,2023-10-06,Changed Mind
331,32790,2024-12-17,Changed Mind
332,31004,2020-04-03,Wrong Item
333,8231,2020-06-23,Arrived Late
334,36593,2020-07-08,Damaged
335,81344,2022-06-16,Wrong Item
336,50224,2023-08-06,Arrived Late
337,109779,2022-04-08,Changed Mind
338,102506,2020-06-19,Arrived Late
339,12092,2025-01-04,Damaged
340,14544,2021-05-10,Not as Described
341,86522,2021-01-04,Wrong Item
342,96278,2022-09-18,Arrived Late
343,42700,2020-07-13,Not as Described
344,10400,2022-01-02,Damaged
345,64035,2021-03-04,Wrong Item
346,71322,2023-05-12,Arrived Late
347,94499,2023-12-10,Not as Described
348,12187,2024-04-02,Not as Described
349,50129,2021-03-19,Arrived Late
350,29020,2021-09-28,Wrong Item
351,84498,2022-04-18,Wrong Item
352,29804,2021-10-25,Wrong Item
353,85876,2021-02-27,Changed Mind
354,107433,2020-11-23,Damaged
355,72675,2020-12-30,Damaged
356,58232,2020-05-06,Damaged
357,117863,2020-04-20,Arrived Late
358,85101,2020-11-10,Arrived Late
359,37848,2024-04-21,Changed Mind
360,108338,2021-06-02,Wrong Item
361,45727,2021-02-10,Arrived Late
362,3768,2021-08-11,Wrong Item
363,70736,2021-11-07,Damaged
364,119143,2024-10-14,Wrong Item
365,28104,2022-12-17,Wrong Item
366,55593,2023-03-10,Not as Described
367,1645,2021-06-27,Damaged
368,27450,2023-12-29,Wrong Item
369,59624,2024-01-02,Not as Described
370,94357,2022-12-09,Arrived Late
371,35262,2022-02-25,Arrived Late
372,29633,2023-12-12,Not as Described
373,97033,2020-02-13,Damaged
374,75417,2023-03-08,Not as Described
375,61719,2024-08-21,Damaged
376,116017,2022-10-18,Wrong Item
377,48302,2022-02-18,Damaged
378,81024,2021-12-10,Wrong Item
379,31410,2021-02-27,Damaged
380,10814,2022-10-18,Not as Described
381,46682,2022-12-10,Changed Mind
382,43410,2022-07-16,Arrived Late
383,66210,2023-11-14,Not as Described
384,77611,2023-07-21,Arrived Late
385,105841,2024-02-16,Wrong Item
386,51055,2021-07-09,Changed Mind
387,117550,2023-09-13,Arrived Late
388,95570,2024-02-03,Changed Mind
389,36874,2024-03-27,Arrived Late
390,1750,2023-02-24,Wrong Item
391,48045,2023-07-09,Not as Described
392,20098,2023-09-11,Changed Mind
393,59015,2023-06-26,Wrong Item
394,6701,2023-11-24,Changed Mind
395,93343,2024-12-18,Not as Described
396,114052,2020-07-22,Changed Mind
397,21372,2025-01-01,Not as Described
398,13344,2022-04-25,Arrived Late
399,9909,2020-07-07,Changed Mind
400,30948,2020-05-05,Changed Mind
401,83238,2024-11-02,Changed Mind
402,1257,2020-04-13,Changed Mind
403,84282,2022-09-30,Damaged
404,87300,2020-03-07,Not as Described
405,8749,2023-12-24,Changed Mind
406,104787,2020-10-06,Arrived Late
407,78376,2020-11-07,Damaged
408,28172,2023-07-23,Arrived Late
409,80183,2020-06-14,Changed Mind
410,113148,2024-07-18,Changed Mind
411,38331,2023-01-10,Changed Mind
412,11142,2021-01-21,Not as Described
413,8761,2022-05-18,Damaged
414,4271,2021-11-14,Arrived Late
415,10342,2021-10-04,Arrived Late
416,30657,2023-10-18,Changed Mind
417,90000,2020-02-07,Arrived Late
418,93807,2024-10-30,Not as Described
419,111110,2022-07-20,Wrong Item
420,43663,2020-08-02,Changed Mind
421,75129,2021-11-01,Damaged
422,69184,2024-07-29,Not as Described
423,62866,2024-03-29,Damaged
424,1518,2022-08-16,Arrived Late
425,118374,2021-03-06,Wrong Item
426,14903,2020-04-27,Wrong Item
427,37666,2023-04-25,Changed Mind
428,1003,2020-08-19,Changed Mind
429,80814,2024-08-24,Wrong Item
430,87287,2024-08-11,Not as Described
431,80708,2020-11-14,Not as Described
432,110580,2023-03-06,Changed Mind
433,92288,2023-08-25,Damaged
434,44645,2021-12-31,Changed Mind
435,11251,2021-12-16,Changed Mind
436,17445,2023-07-09,Damaged
437,96115,2023-03-31,Arrived Late
438,20446,2021-11-10,Changed Mind
439,15436,2021-12-19,Wrong Item
440,69168,2022-10-10,Changed Mind
441,6144,2024-02-05,Damaged
442,87193,2024-03-07,Not as Described
443,89467,2023-01-04,Wrong Item
444,54590,2022-12-06,Damaged
445,49448,2024-07-12,Changed Mind
446,116498,2020-10-08,Changed Mind
447,94650,2022-10-20,Arrived Late
448,114705,2020-02-28,Changed Mind
449,17352,2021-04-13,Damaged
450,86505,2022-12-09,Not as Described
451,69056,2022-08-27,Damaged
452,70518,2023-09-09,Changed Mind
453,46138,2021-04-19,Damaged
454,93358,2022-12-07,Not as Described
455,60933,2021-12-18,Arrived Late
456,22049,2023-01-08,Damaged
457,106468,2021-03-07,Arrived Late
458,61774,2020-10-26,Changed Mind
459,88318,2021-11-30,Arrived Late
460,16843,2023-11-14,Not as Described
461,19937,2020-01-16,Damaged
462,60823,2020-02-17,Changed Mind
463,110721,2024-08-18,Wrong Item
464,82767,2020-07-29,Wrong Item
465,36333,2020-11-23,Wrong Item
466,22769,2021-08-11,Wrong Item
467,60064,2022-11-21,Damaged
468,116168,2023-10-18,Not as Described
469,83086,2023-07-12,Changed Mind
470,41287,2023-05-30,Not as Described
471,77292,2020-07-04,Arrived Late
472,24927,2021-07-13,Arrived Late
473,107687,2021-08-18,Not as Described
474,90911,2020-12-06,Arrived Late
475,106005,2022-08-08,Changed Mind
476,92615,2020-05-16,Damaged
477,31755,2020-11-14,Arrived Late
478,88179,2024-01-25,Arrived Late
479,42767,2020-09-30,Changed Mind
480,104582,2024-02-27,Wrong Item
481,99971,2020-03-15,Damaged
482,506,2020-07-27,Changed Mind
483,72080,2020-02-28,Not as Described
484,86768,2024-10-28,Wrong Item
485,118283,2023-01-23,Damaged
486,112330,2020-07-14,Not as Described
487,27744,2022-07-27,Not as Described
488,9275,2023-10-14,Wrong Item
489,42365,2022-02-22,Changed Mind
490,75324,2023-12-10,Not as Described
491,84609,2022-05-06,Not as Described
492,5580,2023-04-25,Changed Mind
493,57477,2022-12-02,Not as Described
494,17164,2021-10-12,Damaged
495,108311,2021-05-13,Wrong Item
496,38601,2024-11-08,Not as Described
497,68801,2020-08-06,Damaged
498,36250,2023-05-01,Damaged
499,9203,2022-11-17,Not as Described
500,40600,2022-07-15,Arrived Late
501,62337,2020-04-08,Changed Mind
502,82996,2021-07-12,Damaged
503,42265,2024-04-05,Not as Described
504,12904,2022-03-07,Changed Mind
505,117729,2022-11-07,Damaged
506,83060,2024-09-23,Changed Mind
507,96219,2022-06-10,Wrong Item
508,58552,2024-04-14,Not as Described
509,100958,2023-07-16,Damaged
510,61335,2023-01-15,Arrived Late
511,45482,2023-04-16,Not as Described
512,42283,2020-11-08,Arrived Late
513,72907,2024-12-27,Damaged
514,6771,2020-08-19,Damaged
515,80724,2023-08-15,Wrong Item
516,70678,2023-08-17,Arrived Late
517,2875,2022-07-22,Wrong Item
518,12601,2024-11-04,Arrived Late
519,70993,2020-11-28,Wrong Item
520,86877,2023-01-28,Changed Mind
521,14793,2020-10-22,Changed Mind
522,35790,2021-06-24,Wrong Item
523,8836,2024-05-12,Damaged
524,94040,2023-06-20,Arrived Late
525,101311,2023-10-31,Arrived Late
526,97980,2023-09-30,Not as Described
527,99911,2022-06-25,Changed Mind
528,1388,2023-11-10,Arrived Late
529,1523,2024-01-15,Arrived Late
530,12247,2023-10-03,Arrived Late
531,10950,2024-01-10,Wrong Item
532,34901,2020-04-16,Changed Mind
533,95936,2020-09-11,Changed Mind
534,45347,2023-11-15,Wrong Item
535,83996,2024-11-29,Damaged
536,87596,2020-09-05,Damaged
537,12790,2024-08-25,Wrong Item
538,81857,2020-07-18,Damaged
539,79719,2023-09-21,Wrong Item
540,34975,2025-01-09,Wrong Item
541,38013,2021-08-09,Arrived Late
542,52346,2021-09-21,Changed Mind
543,52918,2023-11-19,Wrong Item
544,714,2021-12-17,Wrong Item
545,61059,2023-06-26,Arrived Late
546,22178,2024-04-28,Damaged
547,33508,2023-04-26,Damaged
548,2232,2020-02-11,Wrong Item
549,2684,2024-07-16,Damaged
550,50772,2020-10-24,Damaged
551,118619,2022-12-25,Wrong Item
552,43417,2022-01-30,Damaged
553,2663,2022-12-02,Changed Mind
554,63559,2023-01-26,Arrived Late
555,61371,2020-06-17,Damaged
556,28543,2024-03-20,Changed Mind
557,53606,2021-01-01,Wrong Item
558,20963,2024-06-08,Wrong Item
559,93746,2022-07-24,Wrong Item
560,104744,2021-03-08,Wrong Item
561,33630,2021-06-30,Damaged
562,26165,2020-06-13,Changed Mind
563,44711,2022-05-19,Changed Mind
564,94918,2020-11-23,Arrived Late
565,79667,2022-02-26,Changed Mind
566,8348,2024-08-16,Arrived Late
567,50990,2024-09-29,Not as Described
568,19650,2020-06-27,Not as Described
569,93361,2023-06-18,Wrong Item
570,104473,2022-01-05,Arrived Late
571,19525,2021-10-23,Not as Described
572,33572,2024-12-23,Wrong Item
573,32470,2020-02-14,Wrong Item
574,5353,2024-10-23,Not as Described
575,49426,2023-06-13,Not as Described
576,90759,2023-11-06,Changed Mind
577,102865,2022-07-08,Changed Mind
578,71160,2024-05-28,Wrong Item
579,13868,2023-11-03,Damaged
580,103401,2024-02-06,Arrived Late
581,55993,2020-11-11,Damaged
582,51042,2023-07-25,Arrived Late
583,22729,2020-10-08,Damaged
584,3065,2022-04-20,Changed Mind
585,77998,2024-04-22,Arrived Late
586,47750,2022-11-06,Not as Described
587,69945,2021-04-09,Damaged
588,26585,2024-03-18,Changed Mind
589,49790,2020-09-26,Damaged
590,82541,2020-04-13,Wrong Item
591,86435,2022-10-28,Wrong Item
592,42585,2021-07-19,Arrived Late
593,8035,2022-07-15,Arrived Late
594,19912,2024-02-12,Arrived Late
595,2030,2021-09-24,Wrong Item
596,73818,2023-12-16,Damaged
597,12457,2024-03-15,Damaged
598,93101,2023-07-26,Changed Mind
599,97027,2021-06-12,Damaged
600,57520,2020-03-28,Changed Mind
601,11526,2023-03-16,Damaged
602,33932,2021-03-24,Not as Described
603,43483,2024-07-31,Wrong Item
604,60222,2022-09-28,Arrived Late
605,4473,2020-10-10,Not as Described
606,23273,2024-02-03,Wrong Item
607,42701,2020-07-22,Arrived Late
608,57872,2024-11-21,Changed Mind
609,106864,2021-01-26,Wrong Item
610,76245,2021-01-17,Damaged
611,88978,2023-01-31,Wrong Item
612,96378,2025-01-04,Not as Described
613,115128,2024-04-04,Arrived Late
614,83950,2021-03-07,Wrong Item
615,22262,2022-02-03,Wrong Item
616,87709,2024-10-04,Wrong Item
617,32074,2022-04-28,Not as Described
618,69922,2020-10-04,Wrong Item
619,90714,2022-06-13,Damaged
620,4860,2024-01-12,Not as Described
621,54159,2021-01-21,Not as Described
622,17924,2023-03-29,Wrong Item
623,74130,2024-07-08,Changed Mind
624,75735,2024-12-01,Changed Mind
625,1200,2022-06-15,Not as Described
626,93139,2023-06-09,Arrived Late
627,71776,2021-04-13,Wrong Item
628,81729,2024-04-08,Arrived Late
629,1939,2020-01-29,Wrong Item
630,109343,2024-02-02,Not as Described
631,74255,2021-03-04,Changed Mind
632,80971,2022-07-04,Wrong Item
633,57572,2023-02-11,Arrived Late
634,115598,2024-11-07,Not as Described
635,66797,2022-06-15,Arrived Late
636,23746,2023-09-01,Not as Described
637,14658,2020-04-14,Wrong Item
638,11942,2022-06-03,Changed Mind
639,31841,2024-10-30,Wrong Item
640,68332,2022-08-03,Damaged
641,69516,2021-02-16,Arrived Late
642,90781,2022-05-04,Damaged
643,31777,2024-06-17,Damaged
644,53134,2022-01-17,Wrong Item
645,34439,2021-12-23,Not as Described
646,54066,2022-08-19,Changed Mind
647,56478,2022-09-17,Arrived Late
648,9482,2023-08-16,Arrived Late
649,23063,2020-12-30,Arrived Late
650,65823,2022-01-28,Damaged
651,101493,2023-09-08,Changed Mind
652,49310,2024-12-12,Damaged
653,15244,2024-02-09,Wrong Item
654,74934,2022-08-12,Not as Described
655,63682,2024-04-17,Changed Mind
656,95878,2023-02-15,Not as Described
657,44368,2020-12-02,Wrong Item
658,12456,2024-03-28,Arrived Late
659,43711,2023-08-31,Arrived Late
660,87170,2021-04-10,Damaged
661,116132,2021-10-29,Wrong Item
662,191,2022-07-15,Arrived Late
663,57696,2021-12-30,Changed Mind
664,117282,2021-06-02,Wrong Item
665,112701,2021-02-24,Not as Described
666,23842,2023-03-23,Not as Described
667,6873,2023-07-16,Wrong Item
668,55204,2020-02-13,Damaged
669,68792,2022-02-07,Wrong Item
670,59961,2024-11-19,Damaged
671,20929,2020-03-22,Wrong Item
672,40299,2024-06-02,Wrong Item
673,594,2020-08-29,Damaged
674,22962,2024-12-31,Not as Described
675,94024,2021-06-16,Changed Mind
676,2328,2022-01-16,Wrong Item
677,67633,2024-10-12,Damaged
678,25981,2024-01-19,Wrong Item
679,68051,2021-05-01,Arrived Late
680,90928,2023-09-24,Damaged
681,69524,2020-04-02,Not as Described
682,28313,2023-07-07,Wrong Item
683,58470,2022-11-07,Wrong Item
684,400,2023-10-07,Not as Described
685,97254,2024-03-06,Damaged
686,99998,2020-11-06,Not as Described
687,72048,2024-08-23,Damaged
688,40652,2023-05-04,Damaged
689,97656,2022-03-08,Damaged
690,24930,2022-05-15,Not as Described
691,27646,2023-01-13,Not as Described
692,305,2021-10-24,Changed Mind
693,85430,2021-03-06,Changed Mind
694,58308,2022-10-13,Changed Mind
695,45,2021-05-25,Wrong Item
696,65625,2024-09-29,Arrived Late
697,68925,2023-10-14,Damaged
698,91375,2020-04-30,Damaged
699,33553,2020-02-07,Arrived Late
700,23146,2021-02-28,Damaged
701,14626,2022-10-28,Changed Mind
702,45524,2024-01-01,Damaged
703,3916,2024-07-19,Changed Mind
704,73798,2020-02-01,Arrived Late
705,105698,2024-11-01,Not as Described
706,8694,2020-08-22,Damaged
707,69792,2020-10-15,Damaged
708,60057,2023-04-10,Wrong Item
709,67339,2022-05-19,Changed Mind
710,74767,2021-08-06,Not as Described
711,29069,2021-11-29,Damaged
712,39201,2020-10-24,Arrived Late
713,78497,2022-02-18,Not as Described
714,25884,2022-06-22,Arrived Late
715,41193,2021-02-15,Damaged
716,50038,2022-05-01,Wrong Item
717,19118,2021-11-04,Damaged
718,97363,2020-02-19,Arrived Late
719,18360,2021-05-18,Wrong Item
720,68315,2021-07-04,Damaged
721,98276,2024-02-19,Changed Mind
722,45145,2022-12-11,Wrong Item
723,44659,2021-05-06,Wrong Item
724,112416,2024-03-12,Damaged
725,40793,2024-07-20,Wrong Item
726,2874,2022-08-02,Damaged
727,49345,2020-06-27,Damaged
728,73899,2021-04-02,Wrong Item
729,83876,2021-12-15,Not as Described
730,9188,2021-07-04,Damaged
731,24481,2020-08-26,Changed Mind
732,95949,2021-03-05,Not as Described
733,95340,2021-10-23,Arrived Late
734,71594,2020-06-04,Wrong Item
735,10026,2022-07-07,Wrong Item
736,44735,2022-12-13,Arrived Late
737,94942,2022-04-27,Wrong Item
738,78301,2020-04-07,Changed Mind
739,76933,2023-05-30,Arrived Late
740,37987,2022-02-16,Not as Described
741,39950,2021-10-11,Damaged
742,33600,2023-12-26,Not as Described
743,95770,2022-02-06,Wrong Item
744,11589,2024-05-01,Damaged
745,27698,2021-06-17,Damaged
746,22878,2021-08-17,Damaged
747,87138,2024-12-16,Not as Described
748,52402,2020-07-16,Damaged
749,2757,2022-11-26,Changed Mind
750,91959,2023-10-13,Arrived Late
751,105012,2024-03-06,Changed Mind
752,62079,2024-12-25,Damaged
753,15133,2021-04-12,Changed Mind
754,101489,2022-06-29,Arrived Late
755,47885,2024-07-09,Not as Described
756,14239,2024-12-20,Not as Described
757,72826,2024-08-05,Not as Described
758,63435,2023-03-02,Arrived Late
759,63902,2023-03-25,Changed Mind
760,24197,2022-11-01,Wrong Item
