order_id,customer_id,order_date,order_status,payment_method,shipping_cost
138,226,2024-03-04 21:25:56,Completed,Apple Pay,17.61
139,1093,2023-05-16 02:14:40,Completed,Debit Card,16.55
140,2539,2024-07-30 17:41:34,Completed,PayPal,8.26
141,4669,2024-04-27 03:51:52,Completed,Apple Pay,3.61
142,4421,2024-12-28 08:22:56,Cancelled,PayPal,21.57
143,4994,2020-06-13 13:47:52,Completed,PayPal,14.69
144,582,2020-07-16 16:30:08,Completed,Google Pay,10.34
145,1321,2021-08-27 15:50:30,Completed,Debit Card,24.49
146,1470,2021-07-17 02:05:31,Completed,Credit Card,16.24
147,4055,2021-01-06 06:34:23,Completed,PayPal,2.23
148,3306,2024-11-18 08:45:26,Completed,Apple Pay,20.12
149,3124,2024-01-13 22:23:30,Completed,Debit Card,21.18
150,1500,2020-10-24 20:05:09,Completed,PayPal,8.88
151,3526,2022-02-21 23:32:08,Completed,Apple Pay,2.27
152,2135,2023-06-01 04:37:23,Completed,Debit Card,5.67
153,669,2022-11-21 11:22:19,Completed,Apple Pay,18.8
154,4292,2022-03-11 20:33:44,Completed,Credit Card,21.98
155,499,2024-09-26 22:30:12,Completed,Credit Card,17.07
156,783,2021-06-07 13:14:54,Completed,Credit Card,24.09
157,4335,2020-02-09 01:55:10,Completed,Credit Card,8.17
158,2509,2020-03-26 21:59:54,Completed,Google Pay,14.08
159,569,2021-06-19 14:33:02,Completed,Debit Card,15.91
160,4082,2021-07-18 18:59:56,Completed,Google Pay,5.46
161,2829,2020-10-28 06:17:33,Completed,Debit Card,14.99
162,4703,2021-07-03 16:43:45,Completed,Apple Pay,17.66
163,1455,2024-04-25 05:10:18,Completed,Debit Card,20.36
164,3647,2020-04-04 06:26:19,Completed,Google Pay,0.97
165,4404,2021-01-08 16:57:22,Completed,PayPal,23.38
166,883,2022-12-20 11:21:15,Completed,Debit Card,14.75
167,1372,2020-11-05 19:46:44,Completed,Apple Pay,4.83
168,1272,2022-11-14 06:07:14,Completed,Apple Pay,23.22
169,4490,2023-04-23 02:26:50,Completed,Apple Pay,23.6
170,4543,2020-07-22 09:19:07,Completed,PayPal,6.16
171,1159,2022-01-13 22:47:12,Cancelled,Apple Pay,4.71
172,3312,2020-05-09 05:12:15,Completed,PayPal,1.47
173,3936,2020-11-02 21:35:52,Completed,Google Pay,2.27
174,2626,2024-06-26 09:07:59,Completed,Google Pay,14.38
175,4358,2024-06-08 18:44:41,Completed,Apple Pay,18.92
176,1647,2022-05-27 21:19:00,Completed,PayPal,3.39
177,1623,2022-06-29 04:37:02,Completed,Apple Pay,10.11
178,3089,2020-09-12 23:21:39,Completed,Apple Pay,0.6
179,855,2022-09-25 21:51:31,Completed,Google Pay,12.1
180,3186,2022-08-08 09:22:37,Completed,Apple Pay,24.81
181,2353,2020-06-20 05:42:44,Cancelled,Google Pay,20.78
182,1541,2020-10-04 02:18:07,Completed,PayPal,22.3
183,4680,2024-08-13 09:08:05,Completed,Debit Card,16.02
184,393,2024-07-17 23:42:32,Completed,Credit Card,1.18
185,2482,2023-04-10 20:19:41,Completed,Debit Card,8.79
186,4406,2020-06-11 21:51:21,Completed,Apple Pay,18.46
187,4293,2021-07-07 22:16:28,Completed,Google Pay,9.27
188,367,2021-10-28 09:46:11,Completed,Credit Card,11.43
189,1522,2021-11-19 09:14:36,Completed,PayPal,1.82
190,1668,2024-03-18 18:23:46,Completed,Debit Card,14.28
191,128,2020-05-20 12:52:57,Returned,Apple Pay,5.15
192,953,2022-06-21 08:54:05,Completed,Credit Card,22.61
193,2710,2021-07-04 02:22:57,Completed,Apple Pay,20.66
194,3046,2023-06-02 20:12:56,Completed,Credit Card,3.9
195,4905,2022-02-03 20:00:04,Completed,Google Pay,16.71
196,3464,2024-11-07 14:31:33,Completed,PayPal,5.12
197,2234,2023-06-25 08:25:03,Returned,Credit Card,10.4
198,3389,2023-03-17 16:58:56,Completed,PayPal,21.07
199,1553,2024-02-25 20:03:36,Returned,PayPal,15.0
200,3240,2020-05-09 20:47:07,Completed,Apple Pay,3.22
201,1827,2020-08-07 02:40:36,Completed,Credit Card,2.88
202,4003,2020-07-25 14:37:23,Completed,Debit Card,13.42
203,1372,2022-03-07 21:57:49,Completed,Apple Pay,7.12
204,2347,2022-06-03 13:07:49,Completed,Google Pay,6.54
205,979,2023-05-11 22:20:36,Completed,Debit Card,23.76
206,4545,2024-03-27 03:07:36,Completed,Debit Card,3.18
207,293,2023-12-27 23:58:03,Completed,Apple Pay,2.73
208,1874,2020-04-28 03:48:56,Completed,Apple Pay,4.61
209,553,2022-01-21 02:19:26,Completed,Apple Pay,15.38
210,3589,2021-03-19 12:51:38,Completed,Apple Pay,14.93
211,337,2024-04-13 16:34:33,Completed,Debit Card,19.21
212,2605,2020-05-15 22:49:30,Completed,Google Pay,0.36
213,1252,2022-11-26 12:42:48,Completed,PayPal,23.05
214,2869,2023-12-06 11:51:31,Completed,Debit Card,22.54
215,463,2023-04-30 18:19:38,Completed,Apple Pay,3.83
216,2391,2024-04-19 19:51:56,Completed,Credit Card,5.63
217,1593,2022-11-09 13:40:17,Completed,Apple Pay,0.63
218,3609,2020-08-03 13:33:44,Completed,Debit Card,15.04
219,2358,2024-09-26 01:58:44,Completed,Debit Card,3.58
220,2602,2020-06-25 04:50:15,Completed,Credit Card,17.12
221,3359,2024-05-28 12:24:26,Returned,Google Pay,0.44
222,1392,2022-09-26 08:25:44,Completed,PayPal,0.96
223,851,2021-12-26 23:05:57,Completed,Credit Card,9.53
224,4610,2020-06-30 11:55:38,Completed,Apple Pay,19.22
225,981,2021-11-28 13:16:51,Completed,Credit Card,14.09
226,606,2020-03-02 11:53:59,Completed,Apple Pay,23.43
227,3163,2022-05-27 14:22:26,Completed,Google Pay,9.67
228,1947,2024-03-04 02:58:44,Cancelled,Google Pay,6.25
229,3728,2024-01-28 14:27:13,Completed,Debit Card,11.36
230,2951,2021-11-26 10:42:29,Completed,Debit Card,7.17
231,1429,2023-04-21 21:03:49,Completed,PayPal,22.05
232,3016,2020-03-06 01:11:06,Completed,Apple Pay,20.14
233,1180,2020-05-12 05:07:21,Completed,Apple Pay,10.26
234,4436,2021-12-06 05:16:25,Completed,Apple Pay,3.13
235,2892,2021-10-08 13:07:45,Completed,Apple Pay,10.53
236,3423,2023-12-01 23:26:55,Completed,Apple Pay,11.1
237,3183,2023-12-11 02:20:39,Completed,PayPal,8.45
238,3268,2021-02-17 13:44:58,Completed,Google Pay,5.15
239,1778,2021-08-16 07:23:16,Completed,Google Pay,4.87
240,2978,2023-12-10 15:48:49,Cancelled,Google Pay,21.56
241,3345,2023-03-10 12:21:15,Completed,PayPal,5.34
242,1158,2023-12-31 23:04:22,Completed,Credit Card,13.57
243,3706,2022-07-22 01:30:09,Completed,Google Pay,10.3
244,1634,2021-11-05 17:58:32,Completed,PayPal,13.79
245,1284,2023-04-08 22:46:35,Completed,Google Pay,10.79
246,3629,2020-03-15 01:17:45,Completed,Debit Card,9.65
247,1412,2022-04-29 04:12:53,Completed,Google Pay,19.23
248,3293,2024-11-21 16:15:47,Completed,Debit Card,3.77
249,2593,2023-12-26 19:50:23,Completed,Debit Card,21.7
250,1070,2024-02-21 01:51:47,Cancelled,PayPal,15.26
251,4347,2020-04-19 16:16:48,Completed,Credit Card,19.67
252,703,2020-03-07 16:37:35,Completed,Credit Card,23.0
253,433,2022-10-26 23:04:31,Completed,Credit Card,7.83
254,2923,2021-09-22 17:18:15,Completed,Debit Card,23.95
255,2520,2020-07-24 03:02:16,Completed,PayPal,15.58
256,2585,2024-12-17 17:04:29,Completed,Apple Pay,11.88
257,1436,2022-06-19 04:39:31,Completed,PayPal,2.54
258,4603,2021-05-11 12:28:34,Completed,Debit Card,4.08
259,971,2024-07-11 19:33:03,Completed,Google Pay,10.24
260,4602,2024-09-12 00:03:14,Completed,Apple Pay,17.5
261,2304,2022-02-13 19:51:03,Completed,Credit Card,16.6
262,1202,2023-10-14 06:26:18,Completed,Credit Card,18.89
263,1111,2023-03-29 13:37:37,Completed,Apple Pay,9.48
264,1397,2020-03-02 23:53:13,Completed,Google Pay,17.2
265,2969,2023-10-01 22:36:35,Returned,Google Pay,14.3
266,3665,2020-03-02 16:37:12,Completed,Apple Pay,23.67
267,4644,2022-12-04 05:44:05,Completed,PayPal,24.7
268,3031,2020-08-02 00:48:36,Completed,Debit Card,3.37
269,2459,2023-05-07 22:07:02,Completed,Debit Card,2.77
270,1615,2022-09-23 09:01:10,Completed,PayPal,17.79
271,681,2023-01-07 01:13:57,Completed,Google Pay,24.59
272,4053,2020-02-19 13:43:50,Completed,Google Pay,22.28
273,3423,2021-06-09 06:02:20,Completed,PayPal,21.28
274,1574,2024-05-14 03:34:43,Completed,PayPal,24.55
275,193,2024-03-01 03:53:49,Completed,PayPal,22.65
276,427,2022-01-11 22:30:41,Completed,PayPal,6.58
277,3547,2022-11-14 15:09:12,Completed,Credit Card,6.82
278,3753,2020-09-06 07:26:24,Returned,PayPal,13.78
279,1071,2020-02-03 04:12:01,Completed,Google Pay,0.48
280,3119,2021-09-12 06:24:56,Completed,Apple Pay,9.5
281,295,2022-04-19 17:48:45,Completed,Apple Pay,8.39
282,4200,2023-08-11 22:04:29,Completed,Apple Pay,17.68
283,1085,2022-12-11 17:27:29,Completed,PayPal,13.81
284,4005,2022-05-25 00:41:07,Completed,PayPal,2.08
285,3686,2020-09-20 10:47:45,Completed,PayPal,21.54
286,930,2020-03-12 11:33:36,Completed,Debit Card,20.16
287,877,2022-01-24 20:29:15,Completed,Credit Card,4.43
288,533,2021-04-23 11:31:44,Completed,Google Pay,20.04
289,716,2020-08-22 07:05:33,Completed,Credit Card,18.08
290,2795,2020-08-06 16:07:12,Completed,Debit Card,14.57
291,3775,2022-10-25 01:44:23,Completed,Credit Card,15.31
292,461,2021-03-06 23:20:08,Returned,Debit Card,22.95
293,665,2021-07-30 13:27:39,Completed,Credit Card,17.96
294,751,2020-01-12 22:24:57,Completed,Apple Pay,19.79
295,1910,2021-10-15 03:04:04,Completed,Credit Card,17.92
296,3170,2022-09-22 11:07:29,Completed,Google Pay,4.82
297,1617,2024-03-18 20:16:23,Returned,Google Pay,17.66
298,3844,2022-06-13 23:34:14,Completed,Google Pay,21.63
299,502,2023-10-06 20:24:32,Completed,Debit Card,12.69
300,652,2021-06-30 08:23:38,Completed,Debit Card,6.58
301,4441,2024-11-22 19:28:28,Completed,Debit Card,17.5
302,621,2021-08-07 17:05:54,Completed,Debit Card,21.22
303,1866,2021-05-19 15:10:47,Completed,Apple Pay,15.88
304,4853,2022-07-10 21:00:32,Completed,Google Pay,10.31
305,2339,2021-11-09 02:30:47,Completed,Apple Pay,6.27
306,2825,2022-01-18 01:09:50,Completed,Google Pay,0.17
307,2062,2022-05-24 10:22:07,Completed,Debit Card,1.62
308,515,2024-03-14 13:34:18,Completed,PayPal,22.57
309,495,2023-08-29 06:11:29,Completed,Credit Card,16.85
310,3654,2020-02-07 06:42:21,Completed,Credit Card,7.96
311,2962,2020-07-23 16:16:48,Completed,Google Pay,6.56
312,2614,2023-11-01 13:06:40,Completed,PayPal,18.55
313,3936,2023-02-24 22:15:40,Completed,Apple Pay,7.51
314,4007,2022-08-31 22:21:57,Completed,Google Pay,24.98
315,1559,2021-12-09 17:14:08,Returned,Google Pay,4.26
316,2891,2023-06-26 23:51:42,Returned,Apple Pay,22.0
317,2658,2023-06-06 19:52:44,Completed,Apple Pay,21.72
318,3805,2023-11-05 20:43:01,Completed,Debit Card,3.55
319,3159,2023-07-27 15:25:54,Completed,Credit Card,21.83
320,2595,2023-03-31 03:31:17,Completed,Debit Card,9.99
321,115,2023-09-11 13:48:53,Completed,Debit Card,3.78
322,1507,2021-11-05 04:13:47,Completed,Credit Card,0.41
323,3869,2021-04-10 17:20:28,Completed,PayPal,8.43
324,178,2024-03-25 03:02:54,Completed,Apple Pay,3.96
325,4501,2022-05-12 16:32:45,Completed,Debit Card,4.75
326,4972,2024-03-30 18:20:38,Completed,Apple Pay,10.88
327,1310,2024-02-23 02:51:48,Cancelled,Credit Card,8.83
328,869,2020-07-26 20:52:43,Completed,PayPal,17.65
329,4980,2022-06-17 21:24:05,Completed,Debit Card,5.88
330,4049,2021-11-03 08:14:27,Completed,Apple Pay,12.26
331,2524,2021-05-07 18:15:07,Completed,PayPal,15.76
332,3515,2021-01-13 13:35:59,Completed,Google Pay,3.24
333,2310,2022-11-25 18:03:13,Completed,PayPal,20.18
334,1050,2023-02-22 04:57:10,Completed,Google Pay,24.26
335,518,2020-02-25 00:32:14,Completed,Apple Pay,9.25
336,2017,2021-10-12 18:10:12,Completed,PayPal,17.21
337,2561,2024-01-19 11:07:37,Completed,PayPal,13.87
338,4729,2022-10-25 13:40:34,Completed,Debit Card,22.55
339,2637,2024-11-12 23:54:49,Completed,Debit Card,17.7
340,4993,2022-01-06 09:20:00,Completed,Debit Card,12.21
341,3849,2020-03-01 06:22:00,Completed,PayPal,12.77
342,784,2023-04-08 11:48:12,Completed,Debit Card,15.59
343,667,2024-07-02 06:39:49,Completed,Apple Pay,11.57
344,2180,2020-07-26 22:19:22,Completed,Apple Pay,9.74
345,1583,2022-05-08 03:44:15,Completed,Debit Card,9.09
346,484,2024-01-11 21:07:54,Completed,Debit Card,5.58
347,26,2022-10-13 14:52:21,Completed,PayPal,20.62
348,3954,2024-10-11 16:39:11,Completed,Debit Card,19.59
349,2622,2024-02-14 21:40:50,Completed,PayPal,15.12
350,4394,2021-09-13 13:25:51,Completed,Debit Card,23.94
351,4896,2021-01-08 22:52:20,Completed,PayPal,18.34
352,1597,2024-06-14 11:09:08,Completed,Google Pay,7.06
353,3081,2023-08-07 04:31:09,Completed,Credit Card,7.45
354,1674,2021-03-23 13:51:45,Completed,PayPal,0.63
355,3453,2020-09-01 13:01:06,Completed,PayPal,11.62
356,1210,2023-10-19 19:15:17,Completed,Apple Pay,13.88
357,4865,2023-10-11 21:25:29,Completed,PayPal,2.69
358,2241,2023-11-17 13:35:30,Completed,PayPal,4.94
359,4969,2023-11-09 10:59:41,Completed,PayPal,4.07
360,1053,2022-09-29 21:59:23,Returned,Credit Card,3.1
361,2675,2024-09-12 18:59:15,Completed,Apple Pay,9.22
362,2583,2023-03-11 04:11:33,Completed,Google Pay,0.64
363,3558,2022-10-03 06:33:31,Returned,Apple Pay,4.45
364,283,2022-05-28 23:13:04,Completed,PayPal,14.14
365,4658,2020-05-02 08:29:43,Completed,Google Pay,1.4
366,1081,2024-03-23 02:53:33,Completed,Credit Card,23.17
367,1147,2021-04-15 21:52:23,Completed,Credit Card,13.07
368,1926,2020-10-12 09:32:01,Completed,PayPal,24.31
369,2771,2020-09-09 03:37:58,Completed,Apple Pay,8.59
370,570,2024-03-10 00:09:30,Completed,Apple Pay,13.63
371,4299,2023-07-17 13:31:24,Completed,Apple Pay,17.36
372,4491,2020-10-04 23:38:39,Completed,Debit Card,11.21
373,945,2022-03-21 03:16:44,Completed,Debit Card,5.98
374,4569,2020-03-16 06:21:43,Completed,Credit Card,16.07
375,1848,2024-01-27 05:57:16,Cancelled,Credit Card,1.05
376,1906,2021-04-19 04:58:23,Completed,Debit Card,12.51
377,2646,2023-04-18 23:58:40,Completed,Apple Pay,0.48
378,2373,2024-03-09 07:07:31,Returned,Credit Card,16.74
379,3400,2024-09-04 21:17:25,Completed,Credit Card,1.0
380,4831,2020-04-21 20:46:16,Completed,Debit Card,5.74
381,4027,2020-01-23 05:19:11,Completed,PayPal,17.55
382,4765,2023-02-17 16:53:05,Completed,Google Pay,22.46
383,1345,2023-05-18 23:59:54,Completed,Debit Card,3.81
384,61,2022-05-24 07:59:01,Completed,PayPal,13.91
385,4186,2023-04-21 18:40:43,Completed,Debit Card,20.87
386,4978,2022-03-07 05:29:23,Completed,PayPal,4.89
387,2133,2023-05-04 20:47:49,Cancelled,Credit Card,16.26
388,3700,2020-03-30 12:47:12,Completed,Apple Pay,15.08
389,4193,2023-06-14 10:30:01,Cancelled,Debit Card,4.62
390,342,2023-04-18 18:31:10,Cancelled,Credit Card,18.57
391,1685,2021-09-13 19:42:59,Completed,Google Pay,18.39
392,2447,2021-10-27 22:31:47,Completed,Google Pay,20.45
393,2957,2023-12-11 21:55:35,Completed,Credit Card,16.2
394,1883,2024-10-27 03:08:43,Cancelled,PayPal,5.42
395,196,2022-08-20 19:56:08,Completed,Credit Card,5.41
396,1483,2022-11-03 11:46:33,Completed,Debit Card,12.49
397,3184,2022-10-14 01:38:27,Completed,Apple Pay,24.61
398,4931,2021-05-28 10:28:34,Completed,Apple Pay,12.0
399,4889,2022-06-05 12:40:36,Cancelled,Debit Card,1.94
400,879,2020-01-01 20:11:15,Completed,Credit Card,15.48
401,92,2022-05-02 00:10:08,Completed,Credit Card,7.59
402,3125,2024-10-31 01:25:11,Completed,Debit Card,2.43
403,3016,2021-10-30 22:34:32,Completed,Debit Card,24.27
404,3055,2020-08-24 10:23:24,Returned,PayPal,10.44
405,184,2022-07-13 04:57:54,Completed,Credit Card,22.46
406,2475,2021-03-16 16:12:50,Cancelled,PayPal,11.42
407,1677,2021-01-08 20:05:01,Completed,Credit Card,22.01
408,3904,2021-06-26 09:43:28,Completed,Credit Card,2.81
409,1924,2023-11-15 09:29:45,Completed,Google Pay,17.37
410,2238,2022-04-19 01:38:34,Returned,Credit Card,17.57
411,3930,2020-07-15 14:47:07,Returned,Debit Card,5.39
412,3257,2023-03-18 14:50:59,Completed,Credit Card,0.93
413,3543,2023-12-17 21:13:37,Completed,Apple Pay,4.38
414,109,2024-11-26 22:23:36,Completed,Credit Card,16.42
415,2301,2022-05-24 19:16:36,Completed,Apple Pay,5.07
416,2190,2020-03-16 20:21:21,Completed,PayPal,24.08
417,1541,2021-12-30 13:20:11,Completed,Apple Pay,20.26
418,362,2024-10-15 20:07:40,Returned,Apple Pay,13.97
419,4003,2021-12-20 07:26:53,Completed,Credit Card,7.16
420,725,2023-02-15 03:39:39,Completed,Apple Pay,20.52
421,4462,2021-05-24 04:52:32,Completed,PayPal,16.47
422,3042,2024-09-07 23:19:55,Completed,Google Pay,3.64
423,2841,2023-06-18 12:14:33,Returned,Debit Card,14.51
424,3049,2023-12-23 10:08:47,Completed,PayPal,19.18
425,1210,2024-03-16 09:23:18,Completed,Google Pay,10.2
426,3537,2020-09-25 13:50:53,Returned,Google Pay,6.33
427,1128,2022-10-30 23:40:12,Completed,PayPal,16.14
428,3693,2024-08-02 06:32:43,Completed,Debit Card,22.24
429,2814,2024-04-22 04:24:24,Completed,Debit Card,14.97
430,4426,2021-05-10 07:48:38,Completed,Google Pay,3.49
431,1687,2023-05-16 10:00:41,Completed,Credit Card,20.59
432,917,2024-04-06 17:52:27,Completed,Google Pay,1.05
433,851,2024-11-22 21:45:01,Completed,Credit Card,6.37
434,4510,2021-05-26 17:03:49,Completed,Debit Card,17.1
435,2744,2024-02-28 19:54:15,Completed,Credit Card,8.14
436,3059,2024-08-30 23:26:54,Completed,Apple Pay,13.08
