shipment_id,order_id,shipped_date,delivered_date,carrier
104,110,2024-10-07,2024-10-14,Canada Post
105,111,2021-07-07,2021-07-13,Canada Post
106,112,2021-09-11,2021-09-15,UPS
107,113,2023-06-13,2023-06-16,Canada Post
108,114,2024-07-16,2024-07-23,Canada Post
109,115,2020-11-21,2020-11-25,FedEx
110,116,2022-10-04,2022-10-08,UPS
111,117,2022-02-02,2022-02-09,Canada Post
112,118,2020-03-22,2020-03-23,DHL
113,119,2022-02-05,2022-02-10,FedEx
114,120,2021-03-30,2021-04-01,Canada Post
115,121,2024-02-11,2024-02-19,UPS
116,122,2024-11-01,2024-11-03,Canada Post
117,123,2024-12-13,2024-12-21,Canada Post
118,124,2022-03-26,2022-04-05,FedEx
119,125,2023-09-06,2023-09-14,FedEx
120,128,2021-02-06,2021-02-13,UPS
121,130,2021-12-09,2021-12-11,USPS
122,131,2021-11-28,2021-12-04,UPS
123,132,2023-12-01,2023-12-05,UPS
124,133,2023-09-21,2023-09-30,DHL
125,134,2020-03-10,2020-03-20,DHL
126,135,2022-12-16,2022-12-22,FedEx
127,136,2020-07-22,2020-07-31,FedEx
128,137,2024-11-05,2024-11-14,USPS
129,138,2024-03-06,2024-03-07,USPS
130,139,2023-05-19,2023-05-21,Canada Post
131,140,2024-08-03,2024-08-08,FedEx
132,141,2024-04-27,2024-05-07,USPS
133,143,2020-06-17,2020-06-27,UPS
134,144,2020-07-21,2020-07-22,USPS
135,145,2021-08-28,2021-09-05,USPS
136,146,2021-07-18,2021-07-27,FedEx
137,147,2021-01-06,2021-01-14,DHL
138,148,2024-11-21,2024-11-22,USPS
139,149,2024-01-14,2024-01-24,DHL
140,150,2020-10-28,2020-11-02,Canada Post
141,151,2022-02-25,2022-03-05,USPS
142,152,2023-06-05,2023-06-12,Canada Post
143,153,2022-11-25,2022-12-05,FedEx
144,154,2022-03-15,2022-03-17,UPS
145,155,2024-09-28,2024-10-01,DHL
146,156,2021-06-12,2021-06-19,USPS
147,157,2020-02-11,2020-02-13,DHL
148,158,2020-03-28,2020-03-31,DHL
149,159,2021-06-19,2021-06-23,USPS
150,160,2021-07-19,2021-07-29,FedEx
151,161,2020-10-28,2020-11-06,USPS
152,162,2021-07-06,2021-07-10,DHL
153,163,2024-04-25,2024-04-27,DHL
154,164,2020-04-08,2020-04-12,UPS
155,165,2021-01-13,2021-01-14,FedEx
156,166,2022-12-20,2022-12-29,Canada Post
157,167,2020-11-09,2020-11-14,Canada Post
158,168,2022-11-17,2022-11-22,FedEx
159,169,2023-04-25,2023-05-04,UPS
160,170,2020-07-27,2020-07-29,USPS
161,172,2020-05-14,2020-05-23,FedEx
162,173,2020-11-03,2020-11-07,UPS
163,174,2024-06-28,2024-07-02,Canada Post
164,175,2024-06-09,2024-06-10,FedEx
165,176,2022-05-27,2022-06-04,UPS
166,177,2022-07-03,2022-07-10,FedEx
167,178,2020-09-13,2020-09-17,DHL
168,179,2022-09-28,2022-10-01,DHL
169,180,2022-08-11,2022-08-21,FedEx
170,182,2020-10-07,2020-10-14,USPS
171,183,2024-08-18,2024-08-21,FedEx
172,184,2024-07-18,2024-07-28,USPS
173,185,2023-04-10,2023-04-19,USPS
174,186,2020-06-14,2020-06-17,Canada Post
175,187,2021-07-08,2021-07-15,USPS
176,188,2021-10-30,2021-11-04,USPS
177,189,2021-11-22,2021-11-26,DHL
178,190,2024-03-22,2024-03-26,USPS
179,191,2020-05-23,2020-05-26,UPS
180,192,2022-06-21,2022-06-23,USPS
181,193,2021-07-05,2021-07-15,DHL
182,194,2023-06-04,2023-06-05,USPS
183,195,2022-02-07,2022-02-10,USPS
184,196,2024-11-09,2024-11-18,FedEx
185,197,2023-06-29,2023-07-05,UPS
186,198,2023-03-20,2023-03-25,USPS
187,199,2024-02-28,2024-03-02,DHL
188,200,2020-05-12,2020-05-22,USPS
189,201,2020-08-08,2020-08-18,Canada Post
190,202,2020-07-29,2020-08-08,FedEx
191,203,2022-03-08,2022-03-11,DHL
192,204,2022-06-03,2022-06-11,FedEx
193,205,2023-05-12,2023-05-15,USPS
194,206,2024-03-30,2024-04-04,USPS
195,207,2024-01-01,2024-01-05,Canada Post
196,208,2020-04-29,2020-05-06,USPS
197,209,2022-01-25,2022-01-31,UPS
198,210,2021-03-19,2021-03-22,USPS
199,211,2024-04-17,2024-04-18,FedEx
200,212,2020-05-17,2020-05-27,Canada Post
201,213,2022-11-26,2022-12-04,DHL
202,214,2023-12-09,2023-12-16,DHL
203,215,2023-04-30,2023-05-06,DHL
204,216,2024-04-22,2024-04-25,USPS
205,217,2022-11-11,2022-11-16,UPS
206,218,2020-08-08,2020-08-14,USPS
207,219,2024-10-01,2024-10-11,USPS
208,220,2020-06-25,2020-06-29,Canada Post
209,221,2024-05-30,2024-06-06,DHL
210,222,2022-09-29,2022-10-05,Canada Post
211,223,2021-12-27,2022-01-05,FedEx
212,224,2020-07-04,2020-07-13,DHL
213,225,2021-12-03,2021-12-10,UPS
214,226,2020-03-07,2020-03-16,FedEx
215,227,2022-05-28,2022-06-02,DHL
216,229,2024-01-29,2024-02-03,Canada Post
217,230,2021-11-26,2021-11-27,USPS
218,231,2023-04-24,2023-05-03,DHL
219,232,2020-03-09,2020-03-10,FedEx
220,233,2020-05-12,2020-05-22,USPS
221,234,2021-12-06,2021-12-08,FedEx
222,235,2021-10-12,2021-10-20,FedEx
223,236,2023-12-03,2023-12-04,DHL
224,237,2023-12-11,2023-12-14,Canada Post
225,238,2021-02-19,2021-02-28,USPS
226,239,2021-08-18,2021-08-23,USPS
227,241,2023-03-11,2023-03-17,Canada Post
228,242,2024-01-02,2024-01-10,UPS
229,243,2022-07-22,2022-07-24,FedEx
230,244,2021-11-10,2021-11-18,Canada Post
231,245,2023-04-10,2023-04-18,Canada Post
232,246,2020-03-15,2020-03-18,DHL
233,247,2022-05-01,2022-05-11,DHL
234,248,2024-11-21,2024-12-01,UPS
235,249,2023-12-31,2024-01-02,USPS
236,251,2020-04-21,2020-04-27,UPS
237,252,2020-03-10,2020-03-12,DHL
238,253,2022-10-27,2022-11-01,Canada Post
239,254,2021-09-27,2021-10-03,Canada Post
240,255,2020-07-24,2020-08-01,FedEx
241,256,2024-12-21,2024-12-27,USPS
242,257,2022-06-24,2022-07-01,USPS
243,258,2021-05-11,2021-05-18,Canada Post
244,259,2024-07-16,2024-07-22,FedEx
245,260,2024-09-13,2024-09-16,USPS
246,261,2022-02-18,2022-02-21,FedEx
247,262,2023-10-14,2023-10-22,USPS
248,263,2023-04-02,2023-04-11,Canada Post
249,264,2020-03-06,2020-03-13,USPS
250,265,2023-10-05,2023-10-12,Canada Post
251,266,2020-03-05,2020-03-11,UPS
252,267,2022-12-09,2022-12-19,FedEx
253,268,2020-08-07,2020-08-17,Canada Post
254,269,2023-05-08,2023-05-11,Canada Post
255,270,2022-09-23,2022-09-29,FedEx
256,271,2023-01-11,2023-01-18,USPS
257,272,2020-02-21,2020-02-25,Canada Post
258,273,2021-06-13,2021-06-19,FedEx
259,274,2024-05-19,2024-05-20,Canada Post
260,275,2024-03-06,2024-03-09,FedEx
261,276,2022-01-13,2022-01-22,FedEx
262,277,2022-11-17,2022-11-20,Canada Post
263,278,2020-09-09,2020-09-12,Canada Post
264,279,2020-02-05,2020-02-07,USPS
265,280,2021-09-12,2021-09-22,Canada Post
266,281,2022-04-20,2022-04-28,Canada Post
267,282,2023-08-15,2023-08-23,Canada Post
268,283,2022-12-12,2022-12-17,FedEx
269,284,2022-05-27,2022-06-01,FedEx
270,285,2020-09-25,2020-09-29,USPS
271,286,2020-03-15,2020-03-21,USPS
272,287,2022-01-26,2022-01-29,USPS
273,288,2021-04-23,2021-05-01,USPS
274,289,2020-08-25,2020-09-02,USPS
275,290,2020-08-08,2020-08-14,FedEx
276,291,2022-10-25,2022-10-31,DHL
277,292,2021-03-10,2021-03-15,UPS
278,293,2021-08-02,2021-08-10,DHL
279,294,2020-01-12,2020-01-19,Canada Post
280,295,2021-10-20,2021-10-28,UPS
281,296,2022-09-22,2022-10-02,Canada Post
282,297,2024-03-23,2024-03-29,USPS
283,298,2022-06-13,2022-06-19,Canada Post
284,299,2023-10-08,2023-10-12,FedEx
285,300,2021-07-05,2021-07-08,USPS
286,301,2024-11-27,2024-11-29,USPS
287,302,2021-08-12,2021-08-13,UPS
288,303,2021-05-20,2021-05-27,DHL
289,304,2022-07-12,2022-07-13,USPS
290,305,2021-11-09,2021-11-14,USPS
291,306,2022-01-23,2022-01-29,Canada Post
292,307,2022-05-25,2022-06-01,USPS
293,308,2024-03-16,2024-03-21,FedEx
294,309,2023-09-03,2023-09-05,FedEx
295,310,2020-02-08,2020-02-15,Canada Post
296,311,2020-07-28,2020-08-03,USPS
297,312,2023-11-01,2023-11-09,Canada Post
298,313,2023-03-01,2023-03-05,UPS
299,314,2022-09-02,2022-09-12,UPS
300,315,2021-12-12,2021-12-19,FedEx
301,316,2023-06-30,2023-07-10,FedEx
302,317,2023-06-07,2023-06-13,USPS
303,318,2023-11-06,2023-11-13,Canada Post
304,319,2023-07-29,2023-08-05,DHL
305,320,2023-03-31,2023-04-06,FedEx
306,321,2023-09-15,2023-09-17,UPS
307,322,2021-11-06,2021-11-07,Canada Post
308,323,2021-04-15,2021-04-21,USPS
309,324,2024-03-30,2024-04-02,UPS
310,325,2022-05-16,2022-05-20,USPS
311,326,2024-04-01,2024-04-06,DHL
312,328,2020-07-26,2020-08-03,USPS
313,329,2022-06-22,2022-06-30,FedEx
314,330,2021-11-08,2021-11-15,DHL
315,331,2021-05-08,2021-05-16,Canada Post
316,332,2021-01-14,2021-01-16,DHL
317,333,2022-11-29,2022-12-07,DHL
318,334,2023-02-24,2023-02-26,DHL
319,335,2020-03-01,2020-03-11,USPS
320,336,2021-10-16,2021-10-21,DHL
321,337,2024-01-23,2024-01-26,FedEx
322,338,2022-10-28,2022-11-06,FedEx
323,339,2024-11-15,2024-11-20,UPS
324,340,2022-01-08,2022-01-11,FedEx
325,341,2020-03-04,2020-03-06,Canada Post
326,342,2023-04-10,2023-04-14,Canada Post
327,343,2024-07-06,2024-07-16,DHL
328,344,2020-07-27,2020-07-29,Canada Post
329,345,2022-05-10,2022-05-14,FedEx
330,346,2024-01-11,2024-01-21,Canada Post
331,347,2022-10-15,2022-10-21,DHL
332,348,2024-10-14,2024-10-20,FedEx
333,349,2024-02-19,2024-02-27,USPS
334,350,2021-09-16,2021-09-18,UPS
335,351,2021-01-08,2021-01-14,UPS
336,352,2024-06-19,2024-06-22,FedEx
337,353,2023-08-12,2023-08-19,FedEx
338,354,2021-03-25,2021-03-30,FedEx
339,355,2020-09-03,2020-09-05,DHL
340,356,2023-10-19,2023-10-23,USPS
341,357,2023-10-12,2023-10-14,UPS
342,358,2023-11-21,2023-12-01,DHL
343,359,2023-11-12,2023-11-21,FedEx
344,360,2022-10-01,2022-10-08,UPS
345,361,2024-09-12,2024-09-14,Canada Post
346,362,2023-03-11,2023-03-15,DHL
347,363,2022-10-08,2022-10-14,UPS
348,364,2022-06-02,2022-06-07,USPS
349,365,2020-05-06,2020-05-10,FedEx
350,366,2024-03-24,2024-03-30,UPS
351,367,2021-04-17,2021-04-19,Canada Post
352,368,2020-10-14,2020-10-21,Canada Post
353,369,2020-09-13,2020-09-15,DHL
354,370,2024-03-12,2024-03-13,FedEx
355,371,2023-07-18,2023-07-28,USPS
356,372,2020-10-09,2020-10-14,USPS
357,373,2022-03-26,2022-03-31,UPS
358,374,2020-03-16,2020-03-18,FedEx
359,376,2021-04-21,2021-04-29,USPS
360,377,2023-04-18,2023-04-26,UPS
361,378,2024-03-14,2024-03-21,USPS
362,379,2024-09-09,2024-09-14,DHL
363,380,2020-04-23,2020-05-02,FedEx
364,381,2020-01-24,2020-01-31,USPS
365,382,2023-02-19,2023-02-21,Canada Post
366,383,2023-05-21,2023-05-27,FedEx
367,384,2022-05-28,2022-05-31,FedEx
368,385,2023-04-22,2023-05-01,Canada Post
369,386,2022-03-12,2022-03-14,Canada Post
370,388,2020-04-01,2020-04-08,DHL
371,391,2021-09-16,2021-09-21,USPS
372,392,2021-10-27,2021-11-02,Canada Post
373,393,2023-12-15,2023-12-23,DHL
374,395,2022-08-24,2022-09-01,DHL
375,396,2022-11-07,2022-11-16,UPS
376,397,2022-10-19,2022-10-23,Canada Post
377,398,2021-05-29,2021-06-01,USPS
378,400,2020-01-06,2020-01-12,Canada Post
379,401,2022-05-05,2022-05-06,FedEx
380,402,2024-11-05,2024-11-15,USPS
381,403,2021-11-03,2021-11-11,DHL
382,404,2020-08-24,2020-09-03,Canada Post
383,405,2022-07-13,2022-07-18,DHL
384,407,2021-01-13,2021-01-23,UPS
385,408,2021-06-26,2021-07-04,DHL
386,409,2023-11-15,2023-11-24,DHL
387,410,2022-04-24,2022-05-04,USPS
388,411,2020-07-20,2020-07-25,UPS
389,412,2023-03-21,2023-03-27,USPS
390,413,2023-12-22,2023-12-24,UPS
391,414,2024-11-28,2024-12-01,USPS
392,415,2022-05-26,2022-05-29,DHL
393,416,2020-03-21,2020-03-22,Canada Post
394,417,2021-12-31,2022-01-02,UPS
395,418,2024-10-19,2024-10-21,USPS
396,419,2021-12-25,2021-12-30,UPS
397,420,2023-02-20,2023-02-21,FedEx
398,421,2021-05-28,2021-06-06,USPS
399,422,2024-09-09,2024-09-17,USPS
400,423,2023-06-21,2023-07-01,Canada Post
401,424,2023-12-24,2024-01-03,USPS
402,425,2024-03-20,2024-03-21,USPS
403,426,2020-09-26,2020-09-29,USPS
404,427,2022-10-30,2022-11-08,Canada Post
405,428,2024-08-07,2024-08-11,USPS
406,429,2024-04-27,2024-04-29,Canada Post
407,430,2021-05-13,2021-05-19,UPS
408,431,2023-05-19,2023-05-25,FedEx
409,432,2024-04-11,2024-04-18,DHL
410,433,2024-11-25,2024-11-26,DHL
411,434,2021-05-26,2021-06-03,DHL
412,435,2024-03-04,2024-03-06,DHL
413,436,2024-08-30,2024-09-04,Canada Post
414,437,2021-11-13,2021-11-23,USPS
415,438,2020-11-27,2020-12-02,DHL
416,439,2021-04-29,2021-05-07,Canada Post
417,440,2020-12-01,2020-12-06,UPS
418,441,2022-08-10,2022-08-20,UPS
419,442,2021-10-12,2021-10-21,FedEx
420,443,2020-03-14,2020-03-15,Canada Post
421,444,2021-10-10,2021-10-14,UPS
422,445,2020-07-29,2020-08-08,DHL
423,446,2023-08-07,2023-08-11,Canada Post
424,447,2022-07-22,2022-07-26,DHL
425,448,2022-08-02,2022-08-06,UPS
426,449,2020-05-14,2020-05-19,USPS
427,450,2022-09-24,2022-09-27,UPS
428,451,2023-04-09,2023-04-10,DHL
429,452,2024-12-29,2025-01-04,Canada Post
430,453,2020-03-29,2020-04-06,FedEx
431,455,2020-09-14,2020-09-15,DHL
432,456,2023-11-18,2023-11-28,UPS
433,457,2023-12-30,2023-12-31,USPS
434,458,2023-11-05,2023-11-09,DHL
435,459,2020-02-05,2020-02-15,Canada Post
436,460,2024-04-23,2024-05-03,FedEx
437,461,2023-12-15,2023-12-16,FedEx
438,462,2024-07-25,2024-08-01,FedEx
439,463,2024-05-26,2024-05-28,Canada Post
440,464,2022-07-04,2022-07-14,DHL
441,465,2022-10-29,2022-11-01,Canada Post
442,466,2020-08-26,2020-09-05,Canada Post
443,467,2020-01-18,2020-01-26,Canada Post
444,468,2023-03-20,2023-03-24,Canada Post
445,469,2022-11-23,2022-11-29,FedEx
446,470,2023-10-17,2023-10-26,UPS
447,471,2021-02-14,2021-02-15,FedEx
448,473,2020-03-07,2020-03-15,Canada Post
449,474,2024-08-19,2024-08-23,Canada Post
450,475,2022-05-18,2022-05-21,Canada Post
451,476,2020-07-30,2020-08-08,FedEx
452,477,2024-01-19,2024-01-21,FedEx
453,478,2021-03-04,2021-03-05,Canada Post
454,479,2024-11-11,2024-11-15,Canada Post
455,480,2024-08-26,2024-09-02,FedEx
456,481,2020-07-28,2020-08-02,Canada Post
457,482,2024-10-07,2024-10-11,USPS
458,484,2020-02-08,2020-02-13,Canada Post
459,485,2020-12-16,2020-12-23,FedEx
460,486,2024-07-06,2024-07-15,USPS
461,487,2022-09-20,2022-09-29,DHL
462,488,2021-08-13,2021-08-21,UPS
463,489,2020-11-04,2020-11-05,FedEx
464,490,2020-08-11,2020-08-12,UPS
465,491,2021-03-27,2021-04-03,Canada Post
466,492,2024-10-29,2024-11-01,UPS
467,493,2023-01-31,2023-02-01,Canada Post
468,494,2020-07-04,2020-07-10,USPS
469,495,2023-05-14,2023-05-24,DHL
470,496,2023-05-04,2023-05-07,Canada Post
471,497,2021-01-30,2021-02-04,USPS
472,499,2022-06-15,2022-06-20,Canada Post
473,500,2020-04-09,2020-04-13,UPS
474,501,2021-03-28,2021-04-03,USPS
475,502,2022-05-24,2022-05-25,Canada Post
476,503,2022-08-01,2022-08-08,Canada Post
477,504,2023-12-30,2024-01-03,DHL
478,505,2024-10-08,2024-10-16,FedEx
479,506,2021-03-04,2021-03-11,FedEx
480,507,2022-11-29,2022-12-03,UPS
481,508,2022-02-21,2022-02-24,USPS
482,509,2024-05-18,2024-05-26,FedEx
483,510,2022-01-16,2022-01-20,USPS
484,512,2022-05-20,2022-05-29,DHL
485,513,2021-03-08,2021-03-17,USPS
486,514,2024-08-16,2024-08-26,USPS
487,515,2024-12-12,2024-12-18,Canada Post
488,516,2022-02-08,2022-02-18,DHL
489,517,2021-07-23,2021-07-29,Canada Post
490,518,2024-02-16,2024-02-20,FedEx
491,519,2024-08-01,2024-08-09,FedEx
492,520,2020-08-15,2020-08-21,FedEx
493,521,2024-09-10,2024-09-18,UPS
494,522,2022-03-04,2022-03-10,DHL
495,523,2024-12-21,2024-12-22,FedEx
496,524,2021-09-14,2021-09-16,UPS
497,525,2024-03-03,2024-03-08,Canada Post
498,526,2023-04-19,2023-04-23,DHL
499,527,2021-01-18,2021-01-25,DHL
500,528,2020-05-09,2020-05-17,Canada Post
501,529,2024-07-20,2024-07-29,USPS
502,530,2023-08-09,2023-08-11,DHL
503,531,2020-07-10,2020-07-17,FedEx
504,532,2022-06-02,2022-06-06,FedEx
505,533,2024-11-12,2024-11-13,FedEx
506,534,2022-01-08,2022-01-09,FedEx
507,535,2022-09-15,2022-09-16,USPS
508,536,2021-09-23,2021-10-02,USPS
509,537,2020-10-15,2020-10-16,USPS
510,538,2024-02-21,2024-02-28,Canada Post
511,539,2021-11-20,2021-11-25,USPS
512,541,2022-01-15,2022-01-22,FedEx
513,542,2023-04-18,2023-04-24,FedEx
514,543,2020-09-12,2020-09-19,DHL
515,544,2021-04-16,2021-04-22,USPS
516,545,2020-03-12,2020-03-17,FedEx
517,546,2024-03-09,2024-03-19,FedEx
518,547,2022-12-01,2022-12-04,DHL
519,548,2023-04-21,2023-04-23,FedEx
520,549,2021-03-26,2021-03-29,UPS
521,551,2023-01-03,2023-01-05,UPS
522,552,2021-12-20,2021-12-24,DHL
523,553,2020-03-19,2020-03-24,USPS
524,554,2023-11-10,2023-11-18,FedEx
525,555,2023-01-21,2023-01-28,DHL
526,556,2023-10-17,2023-10-27,UPS
527,557,2022-12-21,2022-12-30,UPS
528,558,2024-01-26,2024-02-02,USPS
529,559,2024-05-28,2024-06-07,DHL
530,560,2020-04-26,2020-04-28,Canada Post
531,561,2020-10-09,2020-10-10,DHL
532,563,2023-11-11,2023-11-18,FedEx
533,564,2022-05-18,2022-05-22,UPS
534,565,2021-06-03,2021-06-13,Canada Post
535,566,2020-06-11,2020-06-16,DHL
536,567,2022-06-17,2022-06-18,FedEx
537,568,2021-06-06,2021-06-15,DHL
538,569,2020-08-29,2020-09-07,UPS
539,570,2021-07-14,2021-07-22,Canada Post
540,571,2024-09-20,2024-09-30,USPS
541,572,2024-07-17,2024-07-20,UPS
542,573,2022-10-11,2022-10-19,DHL
543,574,2020-03-06,2020-03-10,USPS
544,575,2023-05-10,2023-05-20,DHL
545,576,2021-05-02,2021-05-10,Canada Post
546,577,2023-02-15,2023-02-20,FedEx
547,578,2022-02-02,2022-02-05,FedEx
548,579,2022-02-14,2022-02-17,USPS
549,580,2020-07-27,2020-08-04,UPS
550,581,2023-12-04,2023-12-12,Canada Post
551,582,2024-09-10,2024-09-17,Canada Post
552,583,2023-12-20,2023-12-28,UPS
553,584,2024-12-01,2024-12-10,UPS
554,585,2023-06-25,2023-06-28,USPS
555,586,2021-01-30,2021-02-01,FedEx
556,587,2023-02-20,2023-02-21,Canada Post
557,588,2023-04-04,2023-04-14,USPS
558,589,2022-09-09,2022-09-10,DHL
559,590,2021-11-03,2021-11-10,FedEx
560,592,2022-08-01,2022-08-03,USPS
561,593,2021-12-10,2021-12-16,DHL
562,594,2023-12-24,2023-12-28,Canada Post
563,595,2023-12-11,2023-12-14,DHL
564,596,2022-02-01,2022-02-09,FedEx
565,597,2022-07-06,2022-07-10,FedEx
566,598,2023-04-19,2023-04-25,DHL
567,599,2023-01-08,2023-01-17,FedEx
568,600,2024-02-03,2024-02-10,Canada Post
569,601,2022-08-25,2022-09-03,USPS
570,602,2021-03-31,2021-04-05,FedEx
571,603,2024-05-04,2024-05-12,FedEx
572,604,2020-03-17,2020-03-26,FedEx
573,605,2022-12-18,2022-12-20,FedEx
574,606,2020-06-10,2020-06-12,UPS
575,607,2024-02-25,2024-03-06,Canada Post
576,608,2024-09-03,2024-09-10,FedEx
577,610,2022-04-12,2022-04-13,Canada Post
578,611,2020-10-18,2020-10-24,Canada Post
579,612,2021-11-19,2021-11-26,FedEx
580,613,2021-02-20,2021-02-28,DHL
581,614,2023-07-25,2023-08-01,DHL
582,615,2022-03-06,2022-03-07,USPS
583,616,2021-05-25,2021-05-26,USPS
584,618,2024-03-18,2024-03-23,DHL
585,619,2022-12-02,2022-12-04,DHL
586,620,2024-01-01,2024-01-02,UPS
587,621,2022-10-28,2022-11-03,FedEx
588,622,2024-06-03,2024-06-09,Canada Post
589,623,2021-12-07,2021-12-15,USPS
590,624,2022-10-20,2022-10-25,USPS
591,625,2020-06-11,2020-06-13,DHL
592,626,2020-11-27,2020-12-02,Canada Post
593,627,2022-02-16,2022-02-18,Canada Post
594,628,2024-08-16,2024-08-20,UPS
595,629,2023-07-30,2023-08-04,DHL
596,630,2022-01-24,2022-01-27,DHL
597,631,2022-09-03,2022-09-09,USPS
598,632,2021-04-27,2021-04-30,UPS
599,633,2022-11-05,2022-11-14,DHL
600,634,2024-02-22,2024-02-29,FedEx
601,635,2021-10-28,2021-11-03,FedEx
602,636,2022-06-11,2022-06-12,FedEx
603,637,2022-11-11,2022-11-18,DHL
604,638,2023-03-19,2023-03-24,UPS
605,640,2020-10-18,2020-10-21,UPS
606,641,2024-01-07,2024-01-08,FedEx
607,642,2023-02-14,2023-02-21,Canada Post
608,643,2020-05-05,2020-05-11,FedEx
609,644,2020-11-09,2020-11-14,UPS
610,645,2020-05-03,2020-05-04,UPS
611,646,2021-06-12,2021-06-14,UPS
612,647,2020-12-01,2020-12-11,UPS
613,648,2020-08-10,2020-08-11,UPS
614,649,2023-12-12,2023-12-20,FedEx
615,650,2024-05-18,2024-05-25,DHL
616,651,2022-05-31,2022-06-07,DHL
